Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,GameScore,CriticScore
Shadows of the Damned,2011,0.11,0.09,0.04,0.03,0.27,77,56,124,7.75,7.95,7.55
Shantae and the Pirate's Curse,2015,0.01,0,0.03,0,0.04,82,18,86,8.81,9.62,8.01
Shaun White Snowboarding,2008,0.31,0.23,0.01,0.1,0.65,63,30,26,7.12,7.6,6.63
Sherlock Holmes: The Devil's Daughter,2016,0.005,0.005,0,0,0.01,67.5,22.5,68,7.46,8.02,6.905
Shin Megami Tensei IV,2013,0.28,0,0.27,0.03,0.58,83,48,251,8.9,9.52,8.28
Shinobi,2011,0.14,0.07,0,0.02,0.22,69,33,33,7.91,8.66,7.17
Shovel Knight,2015,0.055,0.035,0.01,0.01,0.11,90,13.5,268.5,9.125,9.635,8.62
Sid Meier's Civilization IV,2005,0.02,0.12,0,0.03,0.16,94,50,909,8.76,8.89,8.63
Sid Meier's Civilization Revolution,2008,0.49,0.19,0.01,0.09,0.78,85,39,87,8.08,8.15,8.01
Sid Meier's Civilization V,2010,0.98,0.52,0,0.17,1.68,90,70,2280,9.13,9.55,8.72
Sid Meier's Civilization VI,2016,0.09,0.13,0,0.02,0.25,88,81,684,8.47,8.09,8.84
Sid Meier's Civilization: Beyond Earth,2014,0.11,0.22,0,0.03,0.36,81,78,1027,6.84,5.68,8.01
Silent Hill: Downpour,2012,0.21,0.15,0.04,0.06,0.46,64,41,262,7.19,7.92,6.46
Silent Hunter III,2005,0,0.07,0,0.01,0.08,90,23,95,8.3,8.56,8.04
SimCity,1988,0,0.02,0,0.01,0.03,64,75,4572,6.27,5.98,6.55
SimCity Societies,2007,0,0.02,0,0,0.02,63,27,95,6.41,6.45,6.38
Singularity,2010,0,0.04,0,0.01,0.05,76,36,326,8.21,8.95,7.48
Sins of a Solar Empire,2008,0,0.02,0,0,0.03,87,52,275,8.11,7.9,8.33
Siren: Blood Curse,2008,0,0.17,0.09,0.01,0.27,78,42,87,8.21,8.73,7.7
Skate,2007,0.29,0.04,0,0.03,0.37,85,31,57,7.96,7.96,7.97
Skate 2,2009,0.46,0.25,0.01,0.12,0.84,84,50,53,8.1,8.29,7.91
Skate 3,2010,0.79,0.88,0,0.32,1.98,80,46,82,8.11,8.58,7.65
Skylanders Giants,2012,0.24,0.25,0,0.105,0.6,68,15,15.5,7.53,8.225,6.84
