Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PC,1999,59318,3.5,1.1300000000000001,0.0,0.12,4.749999999999999
PC,2000,65554,3.03,1.4400000000000002,0.0,0.18,4.679999999999999
PC,2001,171646,4.08,1.2400000000000002,0.0,0.18000000000000005,5.51
PC,2002,237582,5.0299999999999985,3.169999999999998,0.0,0.3700000000000001,8.599999999999996
PC,2003,385867,3.389999999999999,4.9199999999999955,0.0,0.6000000000000001,8.95999999999999
PC,2004,389630,2.529999999999999,7.519999999999996,0.08,0.26000000000000006,10.459999999999992
PC,2005,468925,1.3800000000000001,2.669999999999998,0.0,0.3500000000000001,4.469999999999995
PC,2006,724884,0.6000000000000001,1.9200000000000008,0.0,0.3900000000000001,2.969999999999998
PC,2007,855174,2.7599999999999967,6.219999999999992,0.0,0.3700000000000002,9.399999999999984
PC,2008,949603,0.5700000000000001,9.829999999999982,0.0,2.1299999999999977,12.669999999999975
PC,2009,1424038,1.3300000000000003,13.50999999999997,0.0,2.2899999999999943,17.160000000000043
PC,2010,953488,9.129999999999995,11.929999999999986,0.0,3.1999999999999935,24.300000000000004
PC,2011,1431513,10.609999999999994,18.760000000000026,0.0,5.629999999999985,35.06000000000003
PC,2012,584739,7.95,12.359999999999996,0.0,3.189999999999995,23.53
PC,2013,332513,3.8400000000000003,7.339999999999998,0.0,1.6200000000000006,12.829999999999995
PC,2014,406687,3.4,8.619999999999996,0.0,1.3100000000000007,13.389999999999993
PC,2015,558637,2.2,5.279999999999997,0.0,0.5500000000000002,8.069999999999997
PC,2016,510561,0.8400000000000001,1.5900000000000005,0.0,0.17000000000000004,2.5999999999999974
PCFX,1996,14559,0.0,0.0,0.03,0.0,0.03
PS,1994,121896,1.7600000000000005,1.2000000000000002,2.67,0.40000000000000013,6.020000000000001
PS,1995,859167,14.60999999999999,9.849999999999985,9.539999999999992,1.960000000000001,35.92000000000002
PS,1996,1211028,45.419999999999995,25.920000000000023,17.820000000000004,5.539999999999983,94.67999999999999
PS,1997,1234433,58.06000000000001,37.13999999999998,33.10000000000001,7.869999999999979,136.0799999999999
PS,1998,1624959,83.22000000000001,48.74000000000005,28.479999999999993,9.049999999999972,169.58
PS,1999,1263343,65.94000000000008,42.60000000000001,28.069999999999997,7.919999999999981,144.5700000000001
PS,2000,1040741,45.93,30.540000000000006,14.599999999999994,5.279999999999975,96.27999999999993
PS,2001,714858,15.839999999999996,13.719999999999995,3.8599999999999994,2.1699999999999973,35.520000000000024
PS,2002,189988,2.7799999999999994,1.8900000000000003,1.6400000000000003,0.3600000000000001,6.689999999999999
PS,2003,10994,1.1500000000000001,0.78,0.0,0.14,2.05
PS2,2000,559424,16.080000000000005,10.639999999999997,8.870000000000005,3.579999999999996,39.11000000000001
PS2,2001,1161223,79.48999999999995,52.37000000000004,17.79,16.780000000000015,166.43000000000006
PS2,2002,1818374,96.53999999999998,65.2700000000001,21.85000000000001,21.720000000000052,205.40000000000006
PS2,2003,1438135,83.54,61.200000000000045,18.879999999999992,20.690000000000033,184.28999999999996
PS2,2004,1595465,96.77999999999993,56.01000000000003,19.17,39.850000000000016,211.77999999999992
PS2,2005,1688264,85.60000000000004,40.859999999999985,15.05,19.150000000000077,160.65000000000012
PS2,2006,2459627,49.93,21.61000000000003,17.64000000000001,14.239999999999984,103.41999999999999
PS2,2007,2032673,32.050000000000004,10.42999999999999,9.819999999999974,23.690000000000026,76.0
PS2,2008,1777810,21.23,7.629999999999993,5.729999999999991,19.310000000000034,53.830000000000034
PS2,2009,861624,9.360000000000003,4.939999999999997,1.9400000000000008,10.159999999999993,26.45
PS2,2010,437191,2.19,1.5400000000000005,0.7100000000000002,1.2000000000000002,5.629999999999995
PS2,2011,87810,0.13,0.13,0.09,0.09999999999999999,0.47
PS3,2006,171350,8.83,7.469999999999999,1.07,3.69,21.070000000000004
PS3,2007,488176,32.15,26.590000000000014,4.22,10.909999999999988,73.81000000000006
PS3,2008,736751,57.17999999999999,39.709999999999994,5.829999999999997,17.08000000000002,119.69000000000001
PS3,2009,961170,62.630000000000024,42.42999999999999,9.029999999999994,18.260000000000037,132.33999999999997
PS3,2010,1094938,60.92,52.15000000000002,9.869999999999994,21.440000000000026,144.42000000000007
PS3,2011,1448262,64.80000000000003,58.11,14.09999999999999,22.360000000000063,159.3700000000001
PS3,2012,1018919,39.8,40.55,11.939999999999989,17.12000000000001,109.49000000000002
PS3,2013,852133,41.31000000000001,44.660000000000025,12.119999999999989,19.330000000000016,117.38999999999994
PS3,2014,882527,16.119999999999997,20.569999999999997,6.229999999999993,8.049999999999988,50.96000000000002
PS3,2015,775461,4.759999999999997,7.429999999999998,3.669999999999997,2.3499999999999983,18.220000000000002
PS3,2016,393791,0.4,0.8000000000000002,1.1300000000000003,0.22000000000000006,2.59
PS4,2013,45637,10.09,10.990000000000002,0.9299999999999999,2.7499999999999996,24.760000000000005
PS4,2014,372803,34.09,44.800000000000004,2.919999999999999,17.02,98.76000000000003
PS4,2015,1050108,40.760000000000055,50.43,6.189999999999993,17.86000000000003,115.29999999999997
PS4,2016,1079248,11.859999999999992,17.480000000000008,4.229999999999995,5.729999999999992,39.25000000000002
PS4,2017,14393,0.0,0.0,0.03,0.0,0.03
PSP,2004,113188,2.249999999999999,1.72,2.03,1.09,7.13
PSP,2005,763759,24.480000000000004,9.909999999999993,3.2299999999999995,6.559999999999986,44.23000000000001
PSP,2006,1892673,27.990000000000006,14.239999999999988,4.389999999999994,9.13999999999998,55.850000000000044
PSP,2007,1189366,18.460000000000004,14.369999999999992,5.779999999999995,8.799999999999988,47.48000000000004
PSP,2008,918640,11.720000000000004,8.139999999999997,10.069999999999991,4.75999999999999,34.680000000000035
PSP,2009,1618132,12.610000000000001,10.919999999999991,8.189999999999994,6.449999999999989,38.070000000000036
PSP,2010,2119206,7.4,5.959999999999997,18.16000000000003,3.649999999999996,35.11000000000007
PSP,2011,1563239,2.05,1.4500000000000004,13.569999999999979,0.8600000000000003,17.89000000000001
PSP,2012,1361004,0.13,0.26,7.179999999999988,0.14,7.71999999999999
PSP,2013,730676,0.0,0.19,2.9299999999999966,0.07,3.189999999999996
PSP,2014,152752,0.0,0.0,0.24000000000000005,0.0,0.24000000000000005
PSP,2015,43389,0.0,0.0,0.12000000000000001,0.0,0.12000000000000001
PSV,2011,152512,1.7200000000000002,1.8900000000000008,0.8000000000000002,0.7900000000000003,5.1499999999999995
PSV,2012,446594,6.919999999999996,6.169999999999997,2.4499999999999997,3.0499999999999994,18.530000000000005
PSV,2013,606611,3.489999999999999,3.1499999999999977,4.049999999999997,1.9400000000000008,12.690000000000001
PSV,2014,1160979,3.2099999999999986,3.4799999999999973,6.04999999999999,2.0100000000000002,14.73999999999999
PSV,2015,1514701,0.5400000000000001,1.2800000000000005,4.769999999999982,0.4800000000000002,7.09999999999999
PSV,2016,780126,0.19,0.30000000000000004,2.7199999999999975,0.14,3.369999999999996
