,Name,Platform,Play Score,Game Score,Critic Score
587,Lone Echo,PC,8.87,9.39,8.34
588,Ori and the Will of the Wisps,PC,9.1,9.39,8.8
589,Impossible Creatures,PC,8.5,9.39,7.61
590,Death Stranding,PC,8.98,9.39,8.57
591,Cat Quest,Android,8.39,9.39,7.38
592,Fable Anniversary,Xbox 360,8.12,9.39,6.84
593,A Plague Tale: Innocence,PC,8.66,9.39,7.93
594,Unreal Tournament 2004,PC,8.83,9.39,8.26
595,3D Fantasy Zone II W,3DS,8.66,9.39,7.93
596,"Pokémon: Let's Go, Eevee!",Switch,8.7,9.39,8.01
597,Subnautica,PS4,8.78,9.39,8.17
598,Dying Light,PC,8.42,9.39,7.46
599,Phantom Breaker: Battle Grounds Overdrive,PS4,8.18,9.39,6.98
600,Devil May Cry 5,PC,8.99,9.39,8.59
601,Six Ages: Ride Like the Wind,iOS,8.93,9.39,8.47
602,Soul Knight,iOS,8.73,9.39,8.08
603,SpongeBob: Krusty Cook-Off,iOS,8.18,9.39,6.98
604,Rivals of Aether,PC,8.56,9.39,7.73
605,"Pokémon: Let's Go, Pikachu!",Switch,8.64,9.39,7.88
606,Plague Inc: Evolved,PC,8.5,9.39,7.61
607,Bloodborne,PS4,9.17,9.39,8.94
608,Super Mario Odyssey,Switch,9.52,9.39,9.65
609,This War of Mine,PC,8.82,9.39,8.26
610,Super Phantom Cat 2,iOS,8.67,9.39,7.95
611,Darkness Rises,iOS,8.55,9.39,7.71
612,Fairway Solitaire Blast,Android,8.21,9.39,7.03
613,OVIVO,iOS,8.91,9.38,8.44
614,Grumpy Cat's Worst Game Ever,iOS,8.63,9.38,7.87
615,Subsurface Circular,PC,8.68,9.38,7.97
616,SpeedRunners,PC,8.7,9.38,8.02
617,LONEWOLF,iOS,8.63,9.38,7.88
618,Doom,PC,8.84,9.38,8.3
619,Spiritfarer,PC,8.64,9.38,7.9
620,Borderlands 2,PS3,9.07,9.38,8.76
621,The Legend of Heroes: Trails of Cold Steel II,PC,8.59,9.38,7.81
622,Batman: Arkham Asylum,PC,9.0,9.38,8.63
623,Vignettes,iOS,8.66,9.38,7.94
624,Heat Signature,PC,8.5,9.38,7.63
625,Rebel Inc.,iOS,8.88,9.38,8.39
626,Just Dance 2020,Xbox One,8.44,9.38,7.5
627,Mutant Mudds Super Challenge,Wii U,8.51,9.38,7.65
628,Godzilla Defense Force,iOS,8.52,9.38,7.67
629,Thimbleweed Park,iOS,8.73,9.38,8.08
630,The Talos Principle: Deluxe Edition,PS4,9.04,9.38,8.69
631,DRAGON QUEST V,Android,8.75,9.38,8.12
632,Starman,iOS,8.73,9.38,8.08
633,Thimbleweed Park,Android,8.66,9.38,7.95
634,Shin Megami Tensei: Devil Survivor 2 Record Breaker,3DS,8.84,9.38,8.3
635,Yakuza 0,PS4,8.9,9.38,8.41
636,Plants vs. Zombies,PS Vita,8.59,9.38,7.8
637,Chroma Squad,PC,8.56,9.38,7.75
638,Middle-earth: Shadow of Mordor,PS4,8.91,9.38,8.44
639,Dungeons 3,PC,8.29,9.38,7.2
640,Shantae and the Seven Sirens,PS4,8.32,9.38,7.26
641,Castle Crashers,PS3,8.64,9.38,7.9
642,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,PS Vita,8.64,9.38,7.91
643,Beholder,iOS,8.63,9.37,7.89
644,Soda Dungeon,iOS,8.73,9.37,8.08
645,Under Night In-Birth Exe: Late[St],PS4,8.57,9.37,7.77
646,Darkwood,PC,8.58,9.37,7.79
647,Boson X,Android,8.74,9.37,8.1
648,Slayaway Camp,iOS,8.8,9.37,8.23
649,Rayman Adventures,iOS,8.32,9.37,7.27
650,HUNTDOWN,PS4,8.76,9.37,8.14
651,Zero Escape: Virtue's Last Reward,PS Vita,8.85,9.37,8.33
652,Shenmue I & II,PS4,8.44,9.37,7.5
653,Football Manager 2020 Mobile,iOS,8.72,9.37,8.06
654,Child of Light,PS3,8.84,9.37,8.31
655,Salt and Sanctuary,PS4,8.79,9.37,8.22
656,Another Lost Phone: Laura's Story,Android,8.45,9.37,7.53
657,Dust: An Elysian Tail,iOS,8.89,9.37,8.4
658,Iron Marines,iOS,8.99,9.37,8.6
659,Door Kickers,PC,8.66,9.37,7.95
660,Assault Android Cactus,PC,8.66,9.37,7.95
661,Pokémon Mystery Dungeon: Rescue Team DX,Switch,8.2,9.37,7.04
662,EARTH DEFENSE FORCE 5,PC,8.47,9.37,7.58
663,Resident Evil Code: Veronica X,PS3,7.85,9.37,6.33
664,Valkyria Chronicles Remastered,PS4,8.81,9.37,8.25
665,Muramasa Rebirth,PS Vita,8.65,9.37,7.92
666,Splitter Critters,iOS,8.78,9.37,8.18
667,Sorcery! 3,Android,8.63,9.37,7.89
668,CrossCode,PC,8.66,9.37,7.95
669,Diablo III: Eternal Collection,Switch,9.02,9.37,8.68
670,ASTRO BOT Rescue Mission,PS4,9.02,9.37,8.67
671,Pokémon Café Mix,iOS,8.3,9.37,7.24
672,Postknight,iOS,8.47,9.37,7.58
673,Stupid Zombies 3,iOS,8.22,9.37,7.08
674,Book of Demons: Tablet Edition,iOS,9.12,9.37,8.87
675,Ion Fury,PC,8.54,9.37,7.71
676,TUROK REMASTERED,PC,8.04,9.37,6.72
677,Nightmares from the Deep™: The Siren’s Call (Full),iOS,8.82,9.37,8.27
678,One Step From Eden,PC,8.45,9.37,7.54
679,Ghostbusters: The Video Game Remastered,PS4,8.07,9.37,6.78
680,Transistor,PC,8.88,9.37,8.39
681,"Egg, Inc.",iOS,8.54,9.37,7.71
682,Bastion,PS4,8.7,9.36,8.04
683,Shadow Fight 2,iOS,8.51,9.36,7.66
