Name,Platform,Play Score,Game Score,Critic Score
Minecraft: PlayStation 3 Edition,PS3,8.87,9.54,8.20
DATA WING,iOS,9.01,9.54,8.49
The Walking Dead: Season One,PC,8.64,9.53,7.75
3D Out Run,3DS,8.87,9.53,8.21
Azure Striker Gunvolt 2,3DS,8.57,9.53,7.60
Hyper Light Drifter,iOS,8.94,9.53,8.34
Paradigm,PC,8.78,9.53,8.03
Forza Motorsport 7,PC,8.85,9.53,8.17
Linelight,iOS,9.18,9.53,8.83
AMID EVIL,PC,8.87,9.53,8.21
Kingdom Rush Frontiers,iOS,8.94,9.53,8.36
WORLD OF HORROR,PC,8.64,9.53,7.75
Journey,PS4,9.30,9.53,9.07
The Wolf Among Us,PS4,8.57,9.53,7.61
War Tortoise 2,iOS,8.48,9.53,7.44
Persona 4 Golden,PS Vita,9.31,9.53,9.10
Crying Suns,Android,8.98,9.53,8.42
Hidden Folks,iOS,8.81,9.53,8.09
Final Fantasy Crystal Chronicles: Remastered Edition,PS4,8.08,9.52,6.64
Shovel Knight: Treasure Trove,PC,9.03,9.52,8.54
Shovel Knight,PS Vita,8.91,9.52,8.30
ELOH,iOS,9.02,9.52,8.52
Star Wars: Empire at War,PC,8.66,9.52,7.81
Grimvalor,iOS,8.88,9.52,8.24
Poly Bridge 2,PC,7.66,9.52,5.79
Langrisser,iOS,8.55,9.52,7.58
Blaster Master Zero,3DS,8.37,9.52,7.22
Kingdom Rush,iOS,9.11,9.52,8.69
Mini Metro,iOS,9.03,9.52,8.54
Streets of Rage 4,PS4,8.92,9.52,8.32
Mark of the Ninja,PC,9.04,9.52,8.57
Resident Evil HD Remaster,PS4,8.78,9.52,8.04
Shin Megami Tensei IV,3DS,8.90,9.52,8.28
Pac-Man Championship Edition DX +,PC,8.97,9.52,8.42
Legends of Runeterra,iOS,8.90,9.52,8.28
Blendoku,iOS,8.50,9.51,7.48
Hatsune Miku: Project Diva F,PS3,8.32,9.51,7.12
Don't Starve: Mega Pack,PS4,8.59,9.51,7.68
New Super Mario Bros. U Deluxe,Switch,8.72,9.51,7.93
One Piece: Pirate Warriors 2,PS3,8.41,9.51,7.31
Friday the 13th: Killer Puzzle,iOS,8.80,9.51,8.08
10000000,iOS,8.74,9.51,7.97
Plants vs. Zombies,PC,8.94,9.51,8.36
Aggretsuko,iOS,8.08,9.51,6.65
Valiant Hearts: The Great War,PS3,8.78,9.51,8.06
Guacamelee!,PS Vita,8.95,9.51,8.39
In Death: Unchained,PC,8.32,9.51,7.14
Drag'n'Boom,iOS,8.47,9.50,7.44
Sky: Children of the Light,iOS,8.83,9.50,8.16
SIMULACRA,iOS,8.78,9.50,8.07
Zero Escape: Virtue's Last Reward,3DS,8.97,9.50,8.43
A Hat in Time,PS4,8.58,9.50,7.65
Yoku's Island Express,PC,8.78,9.50,8.06
Axiom Verge,PS Vita,8.97,9.50,8.44
FROST,iOS,9.00,9.50,8.51
SENRAN KAGURA Burst,3DS,8.10,9.50,6.70
Super Cat Tales,iOS,8.94,9.50,8.39
The Legend of Zelda: Link's Awakening,Switch,9.05,9.50,8.61
Divinity: Original Sin II,PC,9.37,9.50,9.24
The Walking Dead: Saints & Sinners,PS4,8.77,9.50,8.05
American Truck Simulator,PC,8.61,9.50,7.73
Shantae: Half-Genie Hero,Wii U,8.62,9.49,7.75
Tales From The Borderlands,PC,8.76,9.49,8.02
Undertale,PS4,9.26,9.49,9.03
BattleBlock Theater,Xbox 360,8.94,9.49,8.39
The Legend of Heroes: Trails in the Sky SC,PC,8.55,9.49,7.61
Divinity: Original Sin II - Definitive Edition,PC,9.06,9.49,8.63
Resident Evil Zero HD Remaster,PS3,8.29,9.49,7.09
Miitopia,3DS,8.05,9.49,6.62
Subnautica,PC,8.92,9.49,8.34
Helldivers,PS Vita,8.82,9.49,8.15
Professor Layton and the Azran Legacy,3DS,8.74,9.49,7.98
